date,stock_id,s_prev,s_sell,s_buy,s_ret,s_balance,s_limit,sbl_prev,sbl_sell,sbl_return,sbl_adj,sbl_balance,sbl_limit,note
2024-12-12,00954,0,0,0,0,0,25186750,2530000,0,0,0,2530000,517133,
2024-12-12,00956,0,0,0,0,0,9532500,417000,0,0,0,417000,311061,
2024-12-12,00960,8000,0,2000,0,6000,60748750,3154000,0,200000,0,2954000,1329171,
2024-12-12,00961,0,0,0,0,0,19002750,354000,43000,0,0,397000,300771,
2024-12-12,00962,0,0,0,0,0,31355000,0,0,0,0,0,3605245,
2024-12-12,00963,0,0,0,0,0,19483250,971000,4000,0,0,975000,1048495,
2024-12-12,00964,0,0,0,0,0,8656000,327000,0,0,0,327000,923692,X
2024-12-12,00965,0,0,0,0,0,254873000,2071000,0,0,0,2071000,6156753,
2024-12-12,1101,692000,172000,0,0,864000,1887795435,117733408,644000,3052000,0,115325408,3965512,
2024-12-12,1102,72000,0,0,0,72000,886640720,19914258,543000,0,0,20457258,1902681,
2024-12-12,1103,3000,0,0,0,3000,197561864,3374000,0,0,0,3374000,56335,
2024-12-12,1104,3000,0,0,0,3000,171670454,5261510,19000,6000,0,5274510,103378,
2024-12-12,1108,5000,0,0,0,5000,101184512,1678000,0,0,0,1678000,87553,
2024-12-12,1109,3000,0,0,0,3000,85289717,817000,0,0,0,817000,40684,
2024-12-12,1110,0,0,0,0,0,143000199,1041000,0,0,0,1041000,57582,
2024-12-12,1201,1000,0,0,0,1000,126515728,3314338,0,505000,0,2809338,88175,
2024-12-12,1203,0,0,0,0,0,60000000,33000,0,0,0,33000,9760,
2024-12-12,1210,9000,0,0,0,9000,223691805,10886050,68000,0,0,10954050,240843,
2024-12-12,1213,0,0,0,0,0,0,0,0,0,0,0,0,XV
2024-12-12,1215,40000,0,3000,0,37000,73697524,6890900,3000,0,0,6893900,74053,
2024-12-12,1216,49000,1000,0,0,50000,1420503855,6634000,28000,471000,0,6191000,2143715,
2024-12-12,1217,2000,2000,0,0,4000,123628334,2795000,0,0,0,2795000,169104,
2024-12-12,1218,3000,0,0,0,3000,124999759,2009908,2000,0,0,2011908,227753,
2024-12-12,1219,30000,0,0,0,30000,85400591,3078880,0,0,0,3078880,59991,
2024-12-12,1220,120000,5000,58000,0,67000,44269486,890000,8000,0,0,898000,360575,
2024-12-12,1225,222000,382000,0,0,604000,57409551,173000,9000,0,0,182000,31685,
2024-12-12,1227,1000,0,0,0,1000,228772397,2086409,0,0,0,2086409,117443,
2024-12-12,1229,11000,0,0,0,11000,427609683,13532420,33000,330000,0,13235420,278256,
2024-12-12,1231,2000,2000,0,0,4000,67830562,642100,14000,0,0,656100,71236,
2024-12-12,1232,0,0,0,0,0,39993728,424000,0,0,0,424000,16536,
2024-12-12,1233,0,0,0,0,0,22647987,28000,0,0,0,28000,4480,
2024-12-12,1234,0,0,0,0,0,100467773,320000,0,0,0,320000,21252,
2024-12-12,1235,4000,0,0,0,4000,39287049,20440,0,0,0,20440,7705,
2024-12-12,1236,0,0,0,0,0,21668502,54000,0,0,0,54000,6875,
2024-12-12,1256,0,0,0,0,0,8460540,219000,0,0,0,219000,11145,
2024-12-12,1301,719000,1200000,209000,0,1710000,1591435195,161480084,3622000,2100000,0,163002084,5012472,
2024-12-12,1303,509000,918000,269000,0,1158000,1982705397,93137423,2387000,650000,0,94874423,3085835,
2024-12-12,1304,240000,1000,24000,0,217000,297190875,21473000,82000,71000,0,21484000,422181,
