族,格,年化,回落,錨年化,錨回落,錨出處,格捨入,錨捨入,註,新判準標籤,捨入內不定,比值,錨比值,年化差pp,回落差pp（負＝比0050深）,年化波動
PREREG9／研究十一（事後補）,N20｜LD,0.154,-0.327,0.249,-0.34,results11/CONCLUSIONS.md 133 行,0.0005,0.0005,,不合格,False,0.4709480122324159,0.7323529411764705,-9.5,1.3000000000000012,未存
PREREG15,N5｜H20,0.14300000000000002,-0.45399999999999996,0.246,-0.34,results15/summary.md 151 行,0.0005,0.0005,,不合格,False,0.314977973568282,0.7235294117647059,-10.299999999999997,-11.399999999999993,未存
PREREG15,N5｜H60,0.21600000000000003,-0.47600000000000003,0.246,-0.34,results15/summary.md 151 行,0.0005,0.0005,,不合格,False,0.453781512605042,0.7235294117647059,-2.9999999999999973,-13.600000000000001,未存
PREREG15,N10｜H20,0.163,-0.34600000000000003,0.246,-0.34,results15/summary.md 151 行,0.0005,0.0005,,不合格,False,0.4710982658959537,0.7235294117647059,-8.299999999999999,-0.6000000000000005,未存
PREREG15,N10｜H60,0.191,-0.402,0.246,-0.34,results15/summary.md 151 行,0.0005,0.0005,,不合格,False,0.47512437810945274,0.7235294117647059,-5.499999999999999,-6.2,未存
PREREG15,N20｜H20,0.161,-0.27399999999999997,0.246,-0.34,results15/summary.md 151 行,0.0005,0.0005,,不合格,False,0.5875912408759125,0.7235294117647059,-8.5,6.600000000000006,未存
PREREG15,N20｜H60,0.16699999999999998,-0.349,0.246,-0.34,results15/summary.md 151 行,0.0005,0.0005,,不合格,False,0.4785100286532951,0.7235294117647059,-7.900000000000001,-0.8999999999999952,未存
P7 停損四族,N8｜none（＝門檻B 本體 N=8）,0.2817705153793955,-0.4180245111279412,0.2454,-0.34,resultsp7/P7_REPORT.md 56 行,0.0,"(5e-05, 0.0005)",,另列,False,0.6740526162427743,0.7217647058823529,3.6370515379395507,-7.802451112794118,未存
P7 停損四族,N8｜fix 8%,0.263536202687965,-0.367137687300166,0.2454,-0.34,resultsp7/P7_REPORT.md 56 行,0.0,"(5e-05, 0.0005)",,另列,False,0.7178129944270798,0.7217647058823529,1.8136202687965008,-2.713768730016597,未存
P7 停損四族,N8｜fix 15%,0.2452420102664279,-0.3967407074798961,0.2454,-0.34,resultsp7/P7_REPORT.md 56 行,0.0,"(5e-05, 0.0005)",,不合格,False,0.6181417879304835,0.7217647058823529,-0.0157989733572117,-5.674070747989607,未存
