stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1590,亞德客-KY,2018Q1,twse,12356512,18735967,31092479,10658359,3334321,13992680,1890250,6870172,8489405,-159854,0,17089973,,,9826,17099799,,0,0,90.41
1597,直得,2018Q1,twse,1772506,1152944,2925450,802367,490264,1292631,590455,440667,611309,-8829,0,1633602,,,-783,1632819,0,0,0,27.67
1598,岱宇,2018Q1,twse,2854751,3668980,6523731,3040264,1559144,4599408,929502,726187,164442,-59264,-172340,1588527,,,335796,1924323,,0,4000000,17.86
1603,華電,2018Q1,twse,3122249,4502566,7624815,1820111,778764,2598875,1916880,455266,5037381,-152390,-2244172,5012965,,,12975,5025940,,0,32841809,31.56
1604,聲寶,2018Q1,twse,3958122,8038586,11996708,2179219,2795554,4974773,4990000,138542,2682288,-202782,-855593,6752455,,,269480,7021935,,0,39041829,14.68
1605,華新,2018Q1,twse,56042833,69101731,125144564,24955154,23144613,48099767,33660002,15859361,27765252,-1668199,-315918,75300498,,,1744299,77044797,,0,40000000,22.64
1608,華榮,2018Q1,twse,5837248,6581706,12418954,3108926,880565,3989491,6327735,194806,1617810,-18197,-852003,7270151,,,1159312,8429463,0,0,208563824,17.14
1609,大亞,2018Q1,twse,10336818,8376867,18713685,5645708,5055602,10701310,5721808,524416,712392,-132130,-20770,6805716,0,,1206659,8012375,0,0,5633667,12.01
1611,中電,2018Q1,twse,3552675,2713659,6266334,1085660,217942,1303602,3984392,2242,971533,-32917,-696,4924554,,,38178,4962732,0,0,116273,12.36
1612,宏泰,2018Q1,twse,2847676,2748729,5596405,567640,130024,697664,3160801,191704,1486765,55633,,4894903,,,3838,4898741,,0,0,15.49
1614,三洋電,2018Q1,twse,2185077,4503310,6688387,801147,629457,1430604,2691134,240968,2404270,-4364,-132298,5199710,,,58073,5257783,0,0,10182744,20.08
1615,大山,2018Q1,twse,1160799,1168405,2329204,546366,151350,697716,1118618,0,732808,-219938,,1631488,,,,1631488,,0,0,14.58
1616,億泰,2018Q1,twse,1998337,1031416,3029753,1301086,151529,1452615,1941485,2480,-176618,-105132,-85077,1577138,,,,1577138,,0,4654499,8.32
1617,榮星,2018Q1,twse,2526891,954085,3480976,1553650,223503,1777153,1442332,75660,222994,-37166,0,1703820,,,3,1703823,0,0,0,11.81
1618,合機,2018Q1,twse,2236798,2099158,4335956,223142,34289,257431,2408647,576155,1242550,-148827,0,4078525,,,0,4078525,0,0,0,16.93
1626,艾美特-KY,2018Q1,twse,5241013,3512456,8753469,4916292,1221593,6137885,1228436,979283,445383,-18916,-33051,2601135,,,14449,2615584,0,0,1258000,21.39
1702,南僑,2018Q1,twse,9681545,12881070,22562615,8243535,7953739,16197274,2941330,888076,3170396,-319343,-576860,6103599,,,261742,6365341,0,0,46783259,24.68
1707,葡萄王,2018Q1,twse,2824945,7210510,10035455,2598066,675338,3273404,1355866,855162,3428767,-34883,-91062,5513850,,,1248201,6762051,0,0,508000,40.82
1708,東鹼,2018Q1,twse,1730479,9207385,10937864,1391243,3917008,5308251,2014479,14590,3700799,-107416,,5622452,,,7161,5629613,0,0,0,27.91
1709,和益,2018Q1,twse,4697308,6101628,10798936,1984949,872620,2857569,4921378,186440,2254739,172321,,7534878,,,406489,7941367,,0,0,15.31
1710,東聯,2018Q1,twse,8771308,29145183,37916491,11258973,7926459,19185432,8857031,741291,6699006,-754439,-187798,15355091,,,3375968,18731059,,0,13753554,17.61
1711,永光,2018Q1,twse,6310415,7495015,13805430,3339166,2249042,5588208,5477522,473558,1777750,176750,0,7905580,,,311642,8217222,0,0,0,14.43
1712,興農,2018Q1,twse,7536315,8205920,15742235,5499197,3364698,8863895,4172591,440499,2454498,-237259,0,6830329,0,,48011,6878340,0,0,0,16.37
1713,國化,2018Q1,twse,982504,1487278,2469782,35711,131264,166975,1509517,3167,798531,-8408,0,,,,,2302807,,0,0,15.26
1714,和桐,2018Q1,twse,15496189,11091854,26588043,9151879,2499138,11651017,10168248,50541,1333945,1463,-95951,11458246,,,3478780,14937026,0,0,13659844,11.42
1717,長興,2018Q1,twse,33216842,23997138,57213980,18738420,16477439,35215859,11591397,359012,8834505,663635,,21448549,,,549572,21998121,,0,0,18.50
1720,生達,2018Q1,twse,3119868,3212827,6332695,1554160,526386,2080546,1786961,197264,1600112,140052,,3724389,,,527760,4252149,0,0,0,20.84
1721,國慶科技,2018Q1,twse,2217708,1957861,4175569,969601,868618,1838219,2223473,35888,78964,-6007,0,2332318,0,,5032,2337350,0,0,0,10.49
