stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
3211,順達,2019Q1,tpex,11222441,5912780,17135221,5752976,4233536,9986512,1474805,1987840,3795272,-109208,0,7148709,,,0,7148709,0,0,0,48.47
3213,茂訊,2019Q1,tpex,1563127,513350,2076477,499619,123323,622942,586855,72650,825006,-37302,0,1447209,0,,6326,1453535,0,0,0,24.66
3217,優群,2019Q1,tpex,1312916,1135886,2448802,502410,57986,560396,821042,149030,576870,339558,,1886500,,,1906,1888406,0,0,0,22.98
3218,大學光,2019Q1,tpex,1332958,1374827,2707785,613211,446221,1059432,761230,381924,388244,-6313,,1525085,0,,123268,1648353,0,0,0,20.03
3219,倚強科,2019Q1,tpex,150728,84762,235490,67229,39637,106866,147840,0,-22390,210,,125660,,,2964,128624,,0,0,8.50
3221,台嘉碩,2019Q1,tpex,1280563,1355565,2636128,662044,146446,808490,1023145,689659,191481,-54017,-22172,1828096,,,-458,1827638,,0,1129000,18.07
3224,三顧,2019Q1,tpex,883764,557923,1441687,180821,201599,382420,580160,630399,-141319,-9973,,1059267,,,,1059267,0,0,0,18.26
3226,龍鋒,2019Q1,tpex,1354458,374594,1729052,534658,14116,548774,644306,14705,526058,-4791,,,,,,1180278,,0,0,18.32
3227,原相,2019Q1,tpex,5835998,2314187,8150185,1008463,666281,1674744,1363032,1826150,3750401,-470998,0,6468585,,,6856,6475441,0,3300,0,47.46
3228,金麗科,2019Q1,tpex,289901,263766,553667,78419,25086,103505,677927,0,-205596,-22169,,,,,,450162,0,0,0,6.64
3230,錦明,2019Q1,tpex,522533,623116,1145649,318334,3346,321680,1077465,241075,-434887,-59684,0,823969,0,,0,823969,,0,0,7.65
3232,昱捷,2019Q1,tpex,1057045,55321,1112366,607449,11847,619296,365679,57375,42595,-3172,,462477,,,30593,493070,0,0,0,12.65
3234,光環,2019Q1,tpex,1187643,1699909,2887552,1324957,469634,1794591,761337,471850,-79571,-59229,-10397,1083990,,,8971,1092961,,,220000,14.28
3236,千如,2019Q1,tpex,1484083,1063922,2548005,604817,576008,1180825,856414,181063,369136,-39433,0,1367180,0,,0,1367180,0,0,0,15.96
3252,海灣,2019Q1,tpex,657754,3299663,3957417,467889,1343612,1811501,501958,403523,1183923,28500,,2117904,,,28012,2145916,,0,0,42.19
3259,鑫創,2019Q1,tpex,381944,281279,663223,137301,3384,140685,808596,0,-286058,0,,522538,,,,522538,,0,0,6.46
3260,威剛,2019Q1,tpex,10906609,12812149,23718758,7798842,7819233,15618075,2197254,3586935,2623610,-754648,-202526,7450625,,,650058,8100683,0,0,3436000,34.45
3264,欣銓,2019Q1,tpex,5265359,13368481,18633840,3868261,3534330,7402591,4903252,1284154,5181197,-10582,-126772,11231249,,,,11231249,0,0,16250750,23.69
3265,台星科,2019Q1,tpex,3784013,2180236,5964249,602149,721961,1324110,1362617,366243,2862153,49126,,4640139,,,,4640139,0,0,0,34.05
3268,海德威,2019Q1,tpex,480839,454395,935234,228414,205885,434299,334263,29064,47976,89632,,500935,,,,500935,,0,0,14.99
3272,東碩,2019Q1,tpex,3545244,1048067,4593311,2583285,438412,3021697,522649,546961,599427,-36060,-61363,1571614,,,,1571614,0,0,1726000,31.10
3276,宇環,2019Q1,tpex,863597,1202258,2065855,642005,553421,1195426,697127,28787,27191,-35929,,717176,,,153253,870429,0,0,0,10.29
3284,太普高,2019Q1,tpex,806946,407513,1214459,331943,102141,434084,559618,107135,161049,-14411,-33016,780375,,,,780375,0,0,2000000,14.46
3285,微端,2019Q1,tpex,875868,163167,1039035,336247,70414,406661,441093,40554,182957,-14006,-25646,624952,,,7422,632374,,0,1374000,14.62
3287,廣寰科,2019Q1,tpex,359791,124654,484445,80261,4743,85004,439705,15203,-76000,634,,379542,,,19899,399441,,0,0,8.63
3288,點晶,2019Q1,tpex,202465,109652,312117,96021,85124,181145,226601,8028,-111164,8817,,132282,,,-1310,130972,,0,0,5.84
3289,宜特,2019Q1,tpex,2067001,7341599,9408600,2900829,3633906,6534735,635751,1828092,417172,-46019,,2834996,,,38869,2873865,,0,0,44.59
3290,東浦,2019Q1,tpex,2113463,1031044,3144507,1224288,272163,1496451,995489,236740,458188,-74071,,1616346,,,31710,1648056,,0,0,16.24
3293,鈊象,2019Q1,tpex,3516727,1538371,5055098,809303,113938,923241,703824,310180,3095186,11665,,4120855,,,11002,4131857,,0,0,58.55
3294,英濟,2019Q1,tpex,3471622,1444428,4916050,1892317,562592,2454909,1320159,830559,180787,114499,,2446004,,,15137,2461141,0,0,0,18.53
3297,杭特,2019Q1,tpex,348074,531877,879951,170965,13418,184383,368394,133044,206006,0,-11876,695568,,,0,695568,0,0,790000,19.29
3303,岱稜,2019Q1,tpex,1422381,1592856,3015237,788030,411630,1199660,960896,480112,431977,-28437,-37827,1806721,,,8856,1815577,,0,1999000,19.20
3306,鼎天,2019Q1,tpex,835979,762245,1598224,279023,11747,290770,506077,532037,117828,151512,,1307454,,,,1307454,,0,0,25.84
3310,佳穎,2019Q1,tpex,2700365,451633,3151998,1658750,165391,1824141,502253,272796,561933,-9125,0,1327857,,,0,1327857,0,0,0,26.44
3313,斐成,2019Q1,tpex,668150,208985,877135,26516,15180,41696,837708,622396,-622079,-2586,,835439,,,0,835439,0,0,0,9.97
3317,尼克森,2019Q1,tpex,2035222,467315,2502537,698053,13506,711559,612515,630512,549114,-1163,,1790978,,,,1790978,0,0,0,29.24
3322,建舜電,2019Q1,tpex,1763703,478432,2242135,744687,161405,906092,966515,23353,93256,16669,,1099793,,,236250,1336043,0,0,0,11.38
3323,加百裕,2019Q1,tpex,4472933,629069,5102002,2762097,5207,2767304,857029,680737,746245,47372,0,2331383,0,,3315,2334698,,0,0,27.20
3324,雙鴻,2019Q1,tpex,4498124,1665754,6163878,3483706,51734,3535440,837323,707644,1162505,28165,-120073,2615564,,,12874,2628438,0,248444,1592000,31.84
3325,旭品,2019Q1,tpex,1192060,383184,1575244,692933,50792,743725,746346,140778,-15439,-40166,,831519,,,,831519,,0,0,11.14
3332,幸康,2019Q1,tpex,1282547,331810,1614357,201224,14030,215254,481042,180614,758612,-21165,,1399103,,,,1399103,0,0,0,29.08
3339,泰谷,2019Q1,tpex,453737,753451,1207188,175075,507634,682709,961814,0,-437424,89,,524479,,,,524479,,0,0,5.45
3354,律勝,2019Q1,tpex,1014071,604203,1618274,329332,89486,418818,701124,323644,197657,-17449,-5520,1199456,,,,1199456,0,0,630700,17.26
3360,尚立,2019Q1,tpex,6005919,177390,6183309,5157784,36337,5194121,720310,263506,61169,-4656,-51142,989187,,,1,989188,,0,3200000,14.37
3362,先進光,2019Q1,tpex,2158022,1555529,3713551,845069,264617,1109686,1093587,1018186,455722,-13048,0,2554447,,,49418,2603865,,0,0,23.36
3363,上詮,2019Q1,tpex,1527059,844548,2371607,341381,212022,553403,876421,536881,563295,-32046,-126347,1818204,,,,1818204,,0,4000000,21.74
3372,典範,2019Q1,tpex,950191,1132609,2082800,217789,90203,307992,4068844,93553,-2387589,0,,,,,,1774808,0,0,0,4.36
