stock_id,name,market,kind,first_seen,last_seen
020030,統一智慧電動車N,twse,other,2026-09-02,2026-09-02
020031,統一IC設計臺灣N,twse,other,2026-09-02,2026-09-02
020033,統一恒生科期N,tpex,other,2026-09-02,2026-09-02
020034,元大IC設計N,twse,other,2026-09-02,2026-09-02
020038,元大ESG配息N,twse,other,2026-09-02,2026-09-02
020039,元大加權N,twse,other,2026-09-02,2026-09-02
020041,兆豐半導體氣候N,tpex,other,2026-09-02,2026-09-02
1101,台泥,twse,stock,2026-09-02,2026-09-02
1101B,台泥乙特,twse,special,2026-09-02,2026-09-02
1102,亞泥,twse,stock,2026-09-02,2026-09-02
1103,嘉泥,twse,stock,2026-09-02,2026-09-02
1104,環泥,twse,stock,2026-09-02,2026-09-02
1108,幸福,twse,stock,2026-09-02,2026-09-02
1109,信大,twse,stock,2026-09-02,2026-09-02
1110,東泥,twse,stock,2026-09-02,2026-09-02
1201,味全,twse,stock,2026-09-02,2026-09-02
1203,味王,twse,stock,2026-09-02,2026-09-02
1210,大成,twse,stock,2026-09-02,2026-09-02
1213,大飲,twse,stock,2026-09-02,2026-09-02
1215,卜蜂,twse,stock,2026-09-02,2026-09-02
1216,統一,twse,stock,2026-09-02,2026-09-02
1217,愛之味,twse,stock,2026-09-02,2026-09-02
1218,泰山,twse,stock,2026-09-02,2026-09-02
1219,福壽,twse,stock,2026-09-02,2026-09-02
1220,台榮,twse,stock,2026-09-02,2026-09-02
1225,福懋油,twse,stock,2026-09-02,2026-09-02
1227,佳格,twse,stock,2026-09-02,2026-09-02
1229,聯華,twse,stock,2026-09-02,2026-09-02
1231,聯華食,twse,stock,2026-09-02,2026-09-02
1232,大統益,twse,stock,2026-09-02,2026-09-02
1233,天仁,twse,stock,2026-09-02,2026-09-02
1234,黑松,twse,stock,2026-09-02,2026-09-02
1235,興泰,twse,stock,2026-09-02,2026-09-02
1236,宏亞,twse,stock,2026-09-02,2026-09-02
1240,茂生農經,tpex,stock,2026-09-02,2026-09-02
1256,鮮活果汁-KY,twse,stock,2026-09-02,2026-09-02
1259,安心,tpex,stock,2026-09-02,2026-09-02
1260,富味鄉,emerging,stock,2026-09-02,2026-09-02
1264,德麥,tpex,stock,2026-09-02,2026-09-02
1268,漢來美食,tpex,stock,2026-09-02,2026-09-02
1269,乾杯,emerging,stock,2026-09-02,2026-09-02
1271,晨暉生技,emerging,stock,2026-09-02,2026-09-02
1293,利統,emerging,stock,2026-09-02,2026-09-02
1294,漢田生技,tpex,stock,2026-09-02,2026-09-02
1295,生合,tpex,stock,2026-09-02,2026-09-02
1301,台塑,twse,stock,2026-09-02,2026-09-02
1303,南亞,twse,stock,2026-09-02,2026-09-02
1304,台聚,twse,stock,2026-09-02,2026-09-02
1305,華夏,twse,stock,2026-09-02,2026-09-02
1307,三芳,twse,stock,2026-09-02,2026-09-02
1308,亞聚,twse,stock,2026-09-02,2026-09-02
1309,台達化,twse,stock,2026-09-02,2026-09-02
1310,台苯,twse,stock,2026-09-02,2026-09-02
1312,國喬,twse,stock,2026-09-02,2026-09-02
1313,聯成,twse,stock,2026-09-02,2026-09-02
