stock_id,rows,first,last
2356,2844,2015-01-05,2026-09-03
2357,2844,2015-01-05,2026-09-03
2358,2050,2015-01-05,2023-12-29
2359,2831,2015-01-05,2026-09-03
2360,2843,2015-01-05,2026-09-03
2361,6,2015-01-30,2015-12-09
2362,2841,2015-01-05,2026-09-03
2363,2824,2015-01-05,2026-09-03
2364,1122,2015-03-18,2026-09-03
2365,2816,2015-01-05,2026-09-03
2367,2844,2015-01-05,2026-09-03
2368,2834,2015-01-05,2026-09-03
2369,2842,2015-01-05,2026-09-03
2371,2835,2015-01-05,2026-09-03
2373,2798,2015-01-05,2026-09-03
2374,2830,2015-01-05,2026-09-03
2375,2735,2015-01-05,2026-09-03
2376,2844,2015-01-05,2026-09-03
2377,2844,2015-01-05,2026-09-03
2379,2844,2015-01-05,2026-09-03
2380,2309,2015-01-05,2026-09-03
2382,2844,2015-01-05,2026-09-03
2383,2844,2015-01-05,2026-09-03
2385,2844,2015-01-05,2026-09-03
2387,2810,2015-01-05,2026-09-03
2388,2786,2015-01-05,2026-09-03
2390,2830,2015-01-05,2026-09-03
2392,2842,2015-01-05,2026-09-03
2393,2844,2015-01-05,2026-09-03
2395,2843,2015-01-05,2026-09-03
2397,2795,2015-01-05,2026-09-03
2399,2811,2015-01-05,2026-09-03
2401,2842,2015-01-05,2026-09-03
2402,2841,2015-01-05,2026-09-03
2404,2836,2015-01-05,2026-09-03
2405,2840,2015-01-05,2026-09-03
2406,2839,2015-01-05,2026-09-03
2408,2844,2015-01-05,2026-09-03
2409,2837,2015-01-05,2026-09-03
2412,2844,2015-01-05,2026-09-03
2413,2794,2015-01-05,2026-09-03
2414,2613,2015-01-05,2026-09-03
2415,2787,2015-01-05,2026-09-03
2417,2829,2015-01-05,2026-09-03
2419,2837,2015-01-05,2026-09-03
2420,2838,2015-01-05,2026-09-03
2421,2842,2015-01-05,2026-09-03
2423,2618,2015-01-05,2026-09-03
2424,1267,2015-01-05,2026-09-03
2425,2831,2015-01-05,2026-09-03
2426,2839,2015-01-05,2026-09-03
2427,2739,2015-01-05,2026-09-03
2428,2844,2015-01-05,2026-09-03
2429,1605,2015-02-05,2026-09-03
2430,2761,2015-01-05,2026-09-03
2431,2828,2015-01-05,2026-09-03
2432,714,2023-05-31,2026-09-03
2433,2625,2015-01-05,2026-09-03
2434,1895,2015-01-05,2026-09-03
2436,2832,2015-01-05,2026-09-03
2437,591,2015-01-05,2017-06-19
2438,2084,2015-04-02,2026-09-03
2439,2844,2015-01-05,2026-09-03
2440,2312,2015-01-05,2026-09-03
2441,2842,2015-01-05,2026-09-03
2442,2782,2015-01-05,2026-09-03
2443,1275,2015-01-05,2023-12-29
2444,2826,2015-01-05,2026-09-03
2448,1461,2015-01-05,2020-12-23
2449,2843,2015-01-05,2026-09-03
2450,2835,2015-01-05,2026-09-03
2451,2842,2015-01-05,2026-09-03
2453,2677,2015-01-05,2026-09-03
2454,2843,2015-01-05,2026-09-03
2455,2838,2015-01-05,2026-09-03
2456,1701,2015-01-05,2021-12-28
2457,2842,2015-01-05,2026-09-03
