r,格,n,D,lo,hi,判過
21,乙_trend,45169,-0.00844512948717157,-0.009755015823532906,-0.0071352431508102335,True
22,甲_box_H60,10238,0.03643289705020512,0.0286408921654401,0.04422490193497013,True
22,甲_box_H120,10238,0.02647001367454581,0.02022788104522356,0.03271214630386805,True
22,甲_cup_H60,127,0.023622047244094488,-0.06476018608452325,0.11200428057271222,False
22,甲_cup_H120,127,0.07086614173228346,-0.032200935581128395,0.1739332190456953,False
22,甲_w_H60,4251,0.09527170077628794,0.07883784537298488,0.11170555617959099,True
22,甲_w_H120,4251,0.06069160197600565,0.04540022680953671,0.07598297714247458,True
22,甲_hs_H60,2709,0.08822443706164636,0.06220930809047984,0.11423956603281288,True
22,甲_hs_H120,2709,0.06976744186046512,0.048157114150310765,0.09137776957061947,True
22,甲_flag_H60,828,0.057971014492753624,0.016749366561161667,0.09919266242434557,True
22,甲_flag_H120,828,0.06763285024154589,0.022490981778679434,0.11277471870441234,True
22,乙_box,150636,-0.010250923310305695,-0.011145076368102054,-0.009356770252509335,True
22,乙_cup,397,-0.005149176194018608,-0.01654534334259453,0.006246990954557315,False
22,乙_w,18277,-0.013584646383751477,-0.015964160632531338,-0.011205132134971617,True
22,乙_hs,5022,-0.008508873836029088,-0.012805183617067242,-0.004212564054990935,True
22,乙_flag,3603,-0.005836207630358308,-0.012512427491261292,0.0008400122305446773,False
22,乙_trend,45169,-0.008034203542713515,-0.009429699735941656,-0.006638707349485374,True
23,甲_box_H60,10238,0.04327016995506935,0.035130277090772224,0.05141006281936647,True
23,甲_box_H120,10238,0.028716546200429773,0.021827286004825572,0.03560580639603397,True
23,甲_cup_H60,127,0.09448818897637795,-0.0034274208115665367,0.19240379876432245,False
23,甲_cup_H120,127,0.08661417322834646,-0.014329731050591002,0.18755807750728393,False
23,甲_w_H60,4251,0.10773935544577747,0.08572657569508432,0.1297521351964706,True
23,甲_w_H120,4251,0.07527640555163491,0.055946100307407313,0.0946067107958625,True
23,甲_hs_H60,2709,0.07641196013289037,0.049429824701858534,0.1033940955639222,True
23,甲_hs_H120,2709,0.06127722406792174,0.03724142268003121,0.08531302545581228,True
23,甲_flag_H60,828,0.09782608695652174,0.056972921943274725,0.13867925196976877,True
23,甲_flag_H120,828,0.11594202898550725,0.06704747700537739,0.1648365809656371,True
23,乙_box,150636,-0.010180484359512944,-0.01106281757877782,-0.009298151140248068,True
23,乙_cup,397,0.0010819909143730338,-0.009780028745116026,0.011944010573862093,False
23,乙_w,18277,-0.01334155884017217,-0.01585676415790649,-0.01082635352243785,True
23,乙_hs,5022,-0.0060024429709894305,-0.010880097930832888,-0.0011247880111459737,True
23,乙_flag,3603,-0.006676085485142666,-0.013315908749728838,-3.6262220556493654e-05,True
23,乙_trend,45169,-0.008342736179351076,-0.009666363720770224,-0.007019108637931927,True
24,甲_box_H60,10238,0.04287946864621996,0.03476615018888444,0.05099278710355549,True
24,甲_box_H120,10238,0.026274663020121117,0.019729889121253615,0.032819436918988615,True
24,甲_cup_H60,127,0.11023622047244094,-0.0006031652773176854,0.22107560622219957,False
24,甲_cup_H120,127,0.14960629921259844,0.03925200079144581,0.25996059763375107,True
24,甲_w_H60,4251,0.09150788049870619,0.07108126531697624,0.11193449568043613,True
24,甲_w_H120,4251,0.0632792284168431,0.04706043051628694,0.07949802631739925,True
24,甲_hs_H60,2709,0.07050572166851236,0.04269273670029053,0.0983187066367342,True
24,甲_hs_H120,2709,0.04909560723514212,0.027778665507397368,0.07041254896288687,True
24,甲_flag_H60,828,0.10024154589371981,0.05021676802828549,0.15026632375915414,True
24,甲_flag_H120,828,0.06642512077294686,0.01657760417262641,0.11627263737326732,True
24,乙_box,150636,-0.010061329464246125,-0.011002986823886915,-0.009119672104605335,True
24,乙_cup,397,-0.002568968771240602,-0.016635432411783526,0.011497494869302322,False
24,乙_w,18277,-0.01286691701239045,-0.015466623479168478,-0.010267210545612422,True
24,乙_hs,5022,-0.009011966051559371,-0.013260774968831157,-0.004763157134287586,True
24,乙_flag,3603,-0.0057079283950063975,-0.012455200722724102,0.0010393439327113082,False
24,乙_trend,45169,-0.007920203166502842,-0.009176560851253913,-0.00666384548175177,True
25,甲_box_H60,10238,0.045712053135378,0.03776117826154377,0.053662928009212234,True
25,甲_box_H120,10238,0.032721234616135964,0.025707268905886947,0.03973520032638498,True
