arm,r,seed,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades
E1,96,102096,790ea7f90b73158ff6c24a32b73d89e1acd238231ef9fc108b3646a1f506dd5c,-0.7326245656608628,-0.7354857350709411,-0.13040113156252597,-0.7774560092839958,0.29839816052728957,0.31547889241942806,755
E1,97,102097,a1335b64c5fb8d90af41f7cebd14a168031026414ea51838b8d4f2143f19cd74,-0.7303505748225965,-0.7332360780801029,-0.12962070662880776,-0.7583998603963269,0.3057509137131007,0.3229119382660009,753
E1,98,102098,87bfaff782da593ed8d066766952350f4d3609e880f50e798b8a9a9e0baf15e4,-0.5771976230379074,-0.5817220073758418,-0.08715017290247362,-0.6599355814917321,0.3083484419732732,0.3268270540172492,752
E1,99,102099,5b0a96e0ade3684b204ada5d0f3057785bdab685fc40cc41ecea692f45b5b464,-0.6770886429494878,-0.6805440991294596,-0.11284273975071224,-0.7364627263263195,0.2971169589765609,0.31440081706763506,762
E1,100,102100,f4e5fd1710adaea3cf30d9fd81bd3d0ccd2b529299605cf54d494a965a16f039,-0.5579949186350615,-0.5627247900274216,-0.0828453413150756,-0.7087817760219711,0.29824718403784417,0.31547889241942806,748
E1,101,102101,ce90bcd607af963e7f795a33abdc8a132ab2895e746eb5b8a71945c21add08ec,-0.6606945701172655,-0.6643254583439775,-0.10817683309054904,-0.7687154067326396,0.3036322803169083,0.3208692691783931,759
E1,102,102102,a090577c050a0dfbb6c72c2bc75ef053bae5556bdf6cfeffb74a9d75d87b3991,-0.6510752276349749,-0.6548090519018785,-0.10553209722790191,-0.6999447100476565,0.2988907195055383,0.3174080798910576,754
E1,103,102103,c2482a0ea60b6fd5e35e9c0167751bfa0fa8c9f35addb5d9f8116cce14ba7359,-0.7151471907095608,-0.7181953845211244,-0.12454919955665722,-0.7674864789695042,0.30562180192262084,0.3238197911938266,746
E1,104,102104,64f934620b3472005802debeb95b04a70535acee9eb7bd71016eb250db2f4954,-0.5085268510783209,-0.5137860774655364,-0.07248120377287037,-0.6669325019829038,0.2949305683788999,0.31286881525192917,757
E1,105,102105,8e94eeaa9ce92afe7dbe6eda44bd2b0699e59dc7c175a55d843a38cb5516da8a,-0.6095149117437089,-0.6136934706018631,-0.09480634574477576,-0.7413326108345415,0.3024978088813805,0.3191103041307308,751
E1,106,102106,b7b6be8893ab393e8f8cd5e82ac78454f2adb998a1bf66cc198855802de4202f,-0.7230203211185802,-0.7259842650066476,-0.12714443460715597,-0.7724440368276984,0.29261001194589065,0.30974807081252836,760
E1,107,102107,c93d10dc79ac1f25370acf435f1593a6066d79d79b8c3900cfcd793e1fdc21de,-0.6360537694044257,-0.6399483374468009,-0.101529697248534,-0.7358655041059037,0.2983779394343058,0.31542215161143894,755
E1,108,102108,ce56eeec73a68d2569af19ce23dd4faee9321ba14f4feff87fd4099fa3f59c9f,-0.7125823634841206,-0.7156580033668527,-0.12371759265103144,-0.7766360649133065,0.30858384361486224,0.32620290512936906,745
E1,109,102109,d3e67f9a92945a755545c9d24e7b0710820147804dd7c0105d0de6e9db7ee3d1,-0.6856757060228851,-0.6890392725262726,-0.11537187555104078,-0.7178774050101699,0.2910595750882218,0.307932364956877,756
E1,110,102110,da32087440685f929e47430b3b60843cf3b90add0eb993d9904cc3469ca67599,-0.6860835439898263,-0.6894427462421817,-0.1154935257821148,-0.7896511706193026,0.3021105876842216,0.32064230594643667,748
E1,111,102111,a53ef58df8b27ed41539d463033c24d2515a80e07301e431204da444a807c7ff,-0.6679897540678168,-0.6715425769434176,-0.11022764545540953,-0.7605515564338055,0.30252444269945694,0.31939400817067637,760
E1,112,102112,218fee1cf5acd11d1e1f0890fdf3151ff885345d394291b531ca7fe3db1b8997,-0.582563649215348,-0.5870306120104598,-0.08838436291796059,-0.6604445475869468,0.29209634782095634,0.30855651384475713,761
E1,113,102113,170ec788344d0bc4980e318943d6460d4ebe6672e8e76f207c5db48269369090,-0.6564329060640454,-0.6601093981169099,-0.10699697022952226,-0.7455923900356707,0.3089664489895516,0.32637312755333636,756
