stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b,w_mean
main,1,win,181,1181,526,2859,163,2a45d32f96c9cbe3,0.40263314834160546,-0.3772897714041243,0.2859098054070923,523.0,2836.0,
main,1,win,182,1182,526,2859,163,43282412cf9ae634,0.42182991175670415,-0.3680340944739635,0.2876524950849407,523.0,2836.0,
main,1,win,183,1183,526,2859,163,4c8805e78c24a3f5,0.4358784694110127,-0.38934451193792236,0.287000318444143,523.0,2836.0,
main,1,win,184,1184,526,2859,163,a50d097a7b15d09a,0.39619617883380354,-0.38886283170111713,0.2843156315429891,523.0,2836.0,
main,1,win,185,1185,526,2859,163,9d63352d922e7e6c,0.44762593401850137,-0.42494616784121486,0.2852845606997874,523.0,2836.0,
main,1,win,186,1186,526,2859,163,94a4ff70ad992468,0.432458663525245,-0.3827276136441717,0.2849422083245894,523.0,2836.0,
main,1,win,187,1187,526,2859,163,cdac863f240a58d5,0.37656498764796575,-0.39116384750669414,0.28361503607325944,523.0,2836.0,
main,1,win,188,1188,526,2859,163,5f14a77d8e272d90,0.36365707634988853,-0.4223243179193618,0.2841926255093373,523.0,2836.0,
main,1,win,189,1189,526,2859,163,ebf885396274dc38,0.4046393255907992,-0.37235547394725643,0.28208889860052216,523.0,2836.0,
main,1,win,190,1190,526,2859,163,08ecc93846aa628c,0.3995577802285517,-0.3861284720435714,0.2856384227435964,523.0,2836.0,
main,1,win,191,1191,526,2859,163,bd2d1e64de351546,0.39800646219323643,-0.4259946043191118,0.2871492158706974,523.0,2836.0,
main,1,win,192,1192,526,2859,163,b1498e84f3286022,0.35647345190614965,-0.38999347302120535,0.28179008336981465,523.0,2836.0,
main,1,win,193,1193,526,2859,163,f34a90d2af4408e0,0.3980029991689833,-0.361079376397899,0.28373087876554476,523.0,2836.0,
main,1,win,194,1194,526,2859,163,08c8a47c5f19e7fb,0.39356849480592015,-0.4275380605651088,0.2895021023857759,523.0,2836.0,
main,1,win,195,1195,526,2859,163,dbfd1b3d73021815,0.4102351859830151,-0.3732840193633087,0.2850119932384635,523.0,2836.0,
main,1,win,196,1196,526,2859,163,2ab79dcde2cc2030,0.3843277537824419,-0.42519432503285326,0.2860204800263281,523.0,2836.0,
main,1,win,197,1197,526,2859,163,587345586ee0fab3,0.37901456697096836,-0.3776992065073598,0.2878050209088534,523.0,2836.0,
main,1,win,198,1198,526,2859,163,2220b4ab3751ec86,0.3822510489066715,-0.3920609616629124,0.2821243499884097,523.0,2836.0,
