stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
dataonly,1,orig,122,1122,511,2859,166,3d98ab5a93331b1d,0.47544940703162286,-0.3772896807240475,0.28783322129893396,511,2859
dataonly,1,orig,123,1123,511,2859,166,58056b7d3e26346d,0.47490086907767903,-0.38271401448833864,0.29310400540950327,511,2859
dataonly,1,orig,124,1124,511,2859,166,d80db583abff6325,0.4250584889934803,-0.39791435154650356,0.28810841540885085,511,2859
dataonly,1,orig,125,1125,511,2859,166,c9bcb1b7e0e47f42,0.4393402652776812,-0.45231274487076717,0.2887638854144153,511,2859
dataonly,1,orig,126,1126,511,2859,166,77164edacc55d216,0.4691224618289789,-0.4416392420263283,0.29020249405294174,511,2859
dataonly,1,orig,127,1127,511,2859,166,799e8f6c70684d3f,0.4254105218254578,-0.4025898201152652,0.2832132131185679,511,2859
dataonly,1,orig,128,1128,511,2859,166,dcbc8b624f3268ee,0.4654551948218668,-0.38935807248092474,0.29158122918676155,511,2859
dataonly,1,orig,129,1129,511,2859,166,593ab9e97c2cd05c,0.44152106899230725,-0.4413585667829048,0.2854390279482458,511,2859
dataonly,1,orig,130,1130,511,2859,166,6b154d496c24febd,0.5251317718928752,-0.36496697672106915,0.29472331011331343,511,2859
dataonly,1,orig,131,1131,511,2859,166,a22aafddd88aa8fc,0.44535247147522194,-0.39166228748242554,0.2846894102827939,511,2859
dataonly,1,orig,132,1132,511,2859,166,c47d61928720016c,0.48593523888051804,-0.428939800297031,0.29124358834926495,511,2859
dataonly,1,orig,133,1133,511,2859,166,7fd15eda73524678,0.4504703253107083,-0.37333977631008436,0.2861191849944039,511,2859
dataonly,1,orig,134,1134,511,2859,166,67365ebd3a536a8f,0.4591717699798674,-0.3508159659016419,0.2891367133144329,511,2859
dataonly,1,orig,135,1135,511,2859,166,94c9b60af792472f,0.4367744684206243,-0.37328406623123117,0.2869428741448743,511,2859
dataonly,1,orig,136,1136,511,2859,166,c7ee7bc2eaa6ab31,0.4861217598738732,-0.4046101748368862,0.2896587533178797,511,2859
dataonly,1,orig,137,1137,511,2859,166,bb80de7732ce4efc,0.4264067707219028,-0.43003174291084856,0.2851800093297848,511,2859
dataonly,1,orig,138,1138,511,2859,166,fab14f4265cef209,0.43976000409155813,-0.3812054499079971,0.2850432060480072,511,2859
dataonly,1,orig,139,1139,511,2859,166,090588b8b4f38951,0.46399922546584627,-0.41407005389001555,0.2866138656145239,511,2859
dataonly,1,orig,140,1140,511,2859,166,421af0c4c2b445d7,0.4731023463340962,-0.4286796356807056,0.2938632569424555,511,2859
dataonly,1,orig,141,1141,511,2859,166,97ca23d4be3fcddc,0.48144195289257885,-0.3833380950478312,0.29226349869524504,511,2859
dataonly,1,orig,142,1142,511,2859,166,a2f281a5ccbd9836,0.4956687962324031,-0.43482661248061066,0.29357991093977925,511,2859
dataonly,1,orig,143,1143,511,2859,166,b270bfed41f88851,0.4458421911460557,-0.41923941723757996,0.289620722986926,511,2859
dataonly,1,orig,144,1144,511,2859,166,c87470230d7a9b76,0.47288928982226475,-0.3999628368481418,0.293451988694085,511,2859
dataonly,1,orig,145,1145,511,2859,166,f63c8f14a7beea05,0.42875156431632844,-0.45090810014398897,0.28675511546279187,511,2859
dataonly,1,orig,146,1146,511,2859,166,99c05a91814e4402,0.45670913379831246,-0.38991342185674266,0.2882099302225134,511,2859
dataonly,1,orig,147,1147,511,2859,166,6bc6613527335829,0.46669493130662865,-0.3920609616629124,0.28862157309490344,511,2859
dataonly,1,orig,148,1148,511,2859,166,983f4b558cf845b2,0.4739241732255588,-0.36722167364842134,0.2885392169210471,511,2859
dataonly,1,orig,149,1149,511,2859,166,a901922da51c1344,0.445310831771609,-0.4040996143034733,0.28705617587344234,511,2859
dataonly,1,orig,150,1150,511,2859,166,7b8b4599fab200f9,0.4616038601255761,-0.4046101748368864,0.2866704031731844,511,2859
dataonly,1,orig,151,1151,511,2859,166,1f824e628770fff8,0.47038504320576746,-0.38788289804332654,0.29160539074645064,511,2859
dataonly,1,orig,152,1152,511,2859,166,b2a636137a1e86cf,0.431437877031009,-0.39166228748242565,0.2843214050949023,511,2859
dataonly,1,orig,153,1153,511,2859,166,8ad48aebc7f500e6,0.49486526343137593,-0.3820403502251572,0.29150966631025654,511,2859
dataonly,1,orig,154,1154,511,2859,166,c3f8448d8e74bedc,0.4583200633725195,-0.3610722446225043,0.2845554455125643,511,2859
dataonly,1,orig,155,1155,511,2859,166,834c26f227bc9b06,0.46331960942261863,-0.4331765624804211,0.2865093751424335,511,2859
dataonly,1,orig,156,1156,511,2859,166,f0ebe8ed1170e459,0.4593621184905472,-0.41158474550834395,0.290977058471694,511,2859
dataonly,1,orig,157,1157,511,2859,166,b97a611ed5c5a2f1,0.4949178462551751,-0.43297292327181025,0.29198354068219035,511,2859
dataonly,1,orig,158,1158,511,2859,166,e25ee1e21a5f9e23,0.45654298432918416,-0.40156362147096863,0.28885369949519984,511,2859
dataonly,1,orig,159,1159,511,2859,166,784a23e3ec8034ea,0.4527033994557286,-0.36875002098644905,0.2844002831884203,511,2859
dataonly,1,orig,160,1160,511,2859,166,4562794dbeb12f56,0.4554095786147272,-0.37328406623123117,0.28727192066221363,511,2859
dataonly,1,orig,161,1161,511,2859,166,36bb798e4bd7c22d,0.45971085925534805,-0.39760124006751524,0.289379689010072,511,2859
dataonly,1,orig,162,1162,511,2859,166,d9342e2feca16cbf,0.46536527521208804,-0.39641482184533516,0.2875361573748305,511,2859
dataonly,1,orig,163,1163,511,2859,166,67e4214a8256f118,0.4989767964416225,-0.36755858574558553,0.2913242973732302,511,2859
dataonly,1,orig,164,1164,511,2859,166,3fbc9b1dfd419478,0.45573341977577764,-0.401874435447657,0.2891327347132051,511,2859
dataonly,1,orig,165,1165,511,2859,166,bf786679e450c253,0.4714873680514513,-0.4087472155518101,0.29354881412832967,511,2859
