key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2016-03-09_1229,2016-03-09,1229,聯華,twse,19.90,19.90,19.75,19.80,475181,9424717,-0.1,,,328,
2016-03-09_1231,2016-03-09,1231,聯華食,twse,29.60,29.80,29.40,29.75,84148,2491886,0.15,,,65,
2016-03-09_1232,2016-03-09,1232,大統益,twse,76.70,77.00,76.10,76.40,81679,6237683,-0.3,,,74,
2016-03-09_1233,2016-03-09,1233,天仁,twse,39.40,39.40,38.75,38.95,69101,2688008,-0.45,,,45,
2016-03-09_1234,2016-03-09,1234,黑松,twse,35.85,36.00,35.60,35.65,49757,1780470,-0.2,,,53,
2016-03-09_1235,2016-03-09,1235,興泰,twse,22.20,22.35,22.00,22.20,263286,5866670,0.0,,,77,
2016-03-09_1236,2016-03-09,1236,宏亞,twse,21.00,21.00,21.00,21.00,6011,126253,0.0,down,,15,
2016-03-09_1256,2016-03-09,1256,F-鮮活,tpex,137.00,138.00,137.00,137.00,12000,1648000,,,27165600,8,
2016-03-09_1258,2016-03-09,1258,F-其祥,tpex,45.20,45.20,44.00,44.55,166000,7412350,,,34605658,115,
2016-03-09_1259,2016-03-09,1259,安心,tpex,73.00,73.70,72.70,73.30,23000,1682800,0.30,,32389500,23,
2016-03-09_1262,2016-03-09,1262,綠悅-KY,twse,122.00,130.00,122.00,125.50,3517638,411901750,2.0,,,547,
2016-03-09_1264,2016-03-09,1264,德麥,tpex,203.00,205.00,201.00,203.50,116000,23480500,0.50,,30632700,78,
2016-03-09_1301,2016-03-09,1301,台塑,twse,79.50,79.80,78.30,78.40,7111143,559714563,-1.6,,,3109,
2016-03-09_1303,2016-03-09,1303,南亞,twse,66.90,66.90,65.70,66.50,7283777,481543741,-0.7,,,2681,
2016-03-09_1304,2016-03-09,1304,台聚,twse,13.95,13.95,13.60,13.70,2065659,28309733,-0.25,,,642,
2016-03-09_1305,2016-03-09,1305,華夏,twse,14.90,14.90,14.45,14.65,2901410,42543181,-0.25,,,924,
2016-03-09_1307,2016-03-09,1307,三芳,twse,38.25,38.25,37.50,37.65,315494,11924820,-0.65,,,224,
2016-03-09_1308,2016-03-09,1308,亞聚,twse,19.20,19.45,18.75,18.75,1176174,22239902,-0.65,,,588,
2016-03-09_1309,2016-03-09,1309,台達化,twse,8.20,8.21,8.10,8.12,339061,2759402,-0.09,,,125,
2016-03-09_1310,2016-03-09,1310,台苯,twse,18.35,18.35,17.70,17.75,4602349,82154812,-0.45,,,1756,
2016-03-09_1312,2016-03-09,1312,國喬,twse,17.50,17.55,17.15,17.45,8333071,144470226,-0.3,,,2865,
2016-03-09_1313,2016-03-09,1313,聯成,twse,9.62,9.80,9.59,9.66,1470862,14227110,-0.21,,,616,
2016-03-09_1314,2016-03-09,1314,中石化,twse,8.70,8.70,8.43,8.47,9855525,84239474,-0.27,,,2304,
2016-03-09_1315,2016-03-09,1315,達新,twse,24.60,25.45,24.30,25.00,93501,2323324,0.7,,,61,
2016-03-09_1316,2016-03-09,1316,上曜,twse,9.86,9.87,9.84,9.86,6000,59160,0.02,,,4,
2016-03-09_1319,2016-03-09,1319,東陽,twse,45.60,46.15,44.85,45.50,6556216,299984073,0.15,,,3007,
2016-03-09_1321,2016-03-09,1321,大洋,twse,27.05,27.05,26.75,26.80,131000,3524850,-0.4,,,66,
2016-03-09_1323,2016-03-09,1323,永裕,twse,26.80,26.85,26.50,26.85,130650,3483551,-0.05,,,74,
