key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit
2026-09-02_00890B,2026-09-02,00890B,凱基ESG BBB債15+,tpex,30.99,30.99,30.99,30.99,102000,3160980,-0.05,down
2026-09-02_00891,2026-09-02,00891,中信關鍵半導體,twse,35.20,35.32,34.79,34.79,14090007,492711571,-0.6,
2026-09-02_00892,2026-09-02,00892,富邦台灣半導體,twse,41.20,41.53,40.75,40.75,4160537,170854251,-0.62,
2026-09-02_00893,2026-09-02,00893,國泰智能電動車,twse,42.39,42.39,41.52,41.58,425061,17693183,-0.91,
2026-09-02_00894,2026-09-02,00894,中信小資高價30,twse,48.20,48.20,47.28,47.32,1081855,51378751,-0.95,
2026-09-02_00895,2026-09-02,00895,富邦未來車,twse,49.20,49.20,48.91,48.97,208464,10212043,-0.86,
2026-09-02_00896,2026-09-02,00896,中信綠能及電動車,twse,28.57,28.69,28.30,28.30,21114941,600517006,-0.22,
2026-09-02_00897,2026-09-02,00897,富邦基因免疫生技,twse,13.13,13.23,13.13,13.22,1186501,15647495,0.22,
2026-09-02_00898,2026-09-02,00898,國泰基因免疫革命,twse,10.80,10.91,10.78,10.86,823977,8927488,0.1,
2026-09-02_00899,2026-09-02,00899,FT潔淨能源,twse,22.94,22.94,22.72,22.72,53308,1214576,-0.22,
2026-09-02_00900,2026-09-02,00900,富邦特選高股息30,twse,19.23,19.62,19.23,19.61,11441871,223468792,0.07,
2026-09-02_00901,2026-09-02,00901,永豐智能車供應鏈,twse,46.22,46.22,45.90,46.20,437374,20154784,-0.52,
2026-09-02_00902,2026-09-02,00902,中信電池及儲能,twse,13.28,13.28,12.97,13.04,1339125,17467567,-0.37,
2026-09-02_00903,2026-09-02,00903,富邦元宇宙,twse,21.00,21.00,20.79,20.84,86745,1806923,-0.33,
2026-09-02_00904,2026-09-02,00904,台新臺灣半導體30,twse,40.73,41.25,40.60,40.61,677158,27632750,-0.68,
2026-09-02_00905,2026-09-02,00905,FT臺灣Smart,twse,26.70,26.71,26.27,26.29,978046,25792703,-0.49,
