讀法,鍵,選項,是否◇,型態,買法,事件數,區段數,買到比例,同日比例_全部,同日比例_買到中,狀態,該讀法下可判定格數
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,cal,True,箱型,B,10653,38,0.8545010795081198,0.7320003754810851,0.8566406679116775,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,cal,True,箱型,D,10653,38,0.2296066835633155,0.2296066835633155,1.0,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,cal,True,箱型,E,10653,38,0.16136299633905943,0.0,0.0,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,cal,True,箱型,F,10653,38,0.020463719140148315,0.0,0.0,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,W 底,A,4897,38,1.0,1.0,1.0,基準（不判）,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,W 底,B,4897,38,0.6720441086379416,0.36593832958954464,0.5445153448799757,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,W 底,C,4897,38,0.5893404124974474,0.0,0.0,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,W 底,D,4897,38,0.7670002042066572,0.7670002042066572,1.0,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,W 底,E,4897,38,0.1206861343679804,0.0,0.0,可判定,14
Q5 B 的「5 個交易日」、C 的「連續 3 天」、E／F 的「20 個交易日」怎麼數,days,bar,False,W 底,F,4897,38,0.0649377169695732,0.0,0.0,可判定,14
