date,stocks_traded,all_traded,collapse
2018-09-17,1636,1792,False
2018-09-18,1636,1793,False
2018-09-19,1653,1811,False
2018-09-20,1638,1799,False
2018-09-21,1637,1800,False
2018-09-25,1642,1798,False
2018-09-26,1639,1797,False
2018-09-27,1639,1798,False
2018-09-28,1647,1806,False
2018-10-01,1645,1801,False
2018-10-02,1626,1787,False
2018-10-03,1642,1800,False
2018-10-04,1644,1805,False
2018-10-05,1650,1811,False
2018-10-08,1644,1800,False
2018-10-09,1652,1810,False
2018-10-11,1655,1818,False
2018-10-12,1661,1821,False
2018-10-15,1638,1798,False
2018-10-16,1650,1808,False
2018-10-17,1658,1813,False
2018-10-18,1627,1776,False
2018-10-19,1631,1789,False
2018-10-22,1633,1793,False
2018-10-23,1637,1795,False
2018-10-24,1641,1799,False
2018-10-25,1645,1810,False
2018-10-26,1654,1816,False
2018-10-29,1636,1795,False
2018-10-30,1637,1800,False
2018-10-31,1649,1814,False
2018-11-01,1639,1801,False
2018-11-02,1639,1805,False
2018-11-05,1607,1773,False
2018-11-06,1636,1796,False
2018-11-07,1642,1804,False
2018-11-08,1639,1796,False
2018-11-09,1632,1793,False
2018-11-12,1643,1803,False
2018-11-13,1633,1792,False
2018-11-14,1649,1809,False
2018-11-15,1649,1811,False
2018-11-16,1648,1809,False
2018-11-19,1633,1790,False
2018-11-20,1640,1797,False
2018-11-21,1632,1799,False
2018-11-22,1648,1810,False
2018-11-23,1639,1807,False
2018-11-26,1646,1811,False
2018-11-27,1641,1807,False
2018-11-28,1647,1809,False
2018-11-29,1662,1822,False
2018-11-30,1659,1819,False
2018-12-03,1664,1832,False
2018-12-04,1651,1817,False
2018-12-05,1653,1817,False
2018-12-06,1656,1824,False
2018-12-07,1646,1814,False
2018-12-10,1648,1814,False
2018-12-11,1652,1821,False
2018-12-12,1659,1821,False
2018-12-13,1651,1816,False
2018-12-14,1649,1814,False
2018-12-17,1650,1815,False
2018-12-18,1657,1827,False
2018-12-19,1650,1819,False
2018-12-20,1652,1816,False
2018-12-21,1644,1810,False
2018-12-22,1608,1759,False
2018-12-24,1647,1811,False
2018-12-25,1635,1802,False
2018-12-26,1644,1813,False
2018-12-27,1660,1833,False
2018-12-28,1660,1832,False
2019-01-02,1647,1823,False
2019-01-03,1651,1823,False
2019-01-04,1646,1819,False
2019-01-07,1654,1828,False
2019-01-08,1662,1834,False
2019-01-09,1668,1843,False
2019-01-10,1663,1832,False
2019-01-11,1657,1831,False
2019-01-14,1656,1826,False
2019-01-15,1666,1840,False
2019-01-16,1670,1840,False
2019-01-17,1667,1841,False
2019-01-18,1669,1841,False
2019-01-21,1668,1842,False
2019-01-22,1662,1836,False
2019-01-23,1648,1819,False
2019-01-24,1653,1828,False
2019-01-25,1678,1858,False
2019-01-28,1665,1846,False
2019-01-29,1670,1855,False
2019-01-30,1672,1856,False
2019-02-11,1671,1855,False
2019-02-12,1670,1856,False
2019-02-13,1668,1854,False
2019-02-14,1672,1857,False
2019-02-15,1668,1855,False
2019-02-18,1678,1868,False
2019-02-19,1673,1861,False
2019-02-20,1685,1876,False
2019-02-21,1674,1864,False
2019-02-22,1666,1855,False
2019-02-25,1684,1872,False
2019-02-26,1672,1861,False
2019-02-27,1685,1877,False
2019-03-04,1676,1867,False
2019-03-05,1676,1865,False
2019-03-06,1681,1871,False
2019-03-07,1671,1863,False
2019-03-08,1671,1860,False
2019-03-11,1679,1867,False
2019-03-12,1682,1877,False
2019-03-13,1671,1866,False
2019-03-14,1679,1871,False
2019-03-15,1680,1873,False
2019-03-18,1679,1873,False
2019-03-19,1680,1873,False
2019-03-20,1678,1866,False
2019-03-21,1689,1887,False
2019-03-22,1686,1880,False
